Regional unit:;Name:;Address;Phone:;Fax:;Email:;Website:
KRŠKO;TRUBARJEV DOM UPOKOJENCEV LOKA PRI ZIDANEM MOSTU;Loka 48, 1434 Loka pri Zidanem mostu;03 565 81 00;03 568 41 96;loka(at)ssz-slo.si;http://www.tdu-loka.si/
LJUBLJANA;DOM STAREJŠIH OBČANOV LJUBLJANA BEŽIGRAD ;Komanova 1, 1000 Ljubljana;01 589 67 50;01 568 20 49;bezigrad(at)ssz-slo.si;http://www.dsolj-bezigrad.si/
LJUBLJANA;DOM UPOKOJENCEV CENTER, LJUBLJANA;Tabor 10, 1000 Ljubljana;01 234 73 00;01 234 73 45;dom.center@duc.si;www.duc.si
LJUBLJANA;DOM UPOKOJENCEV CENTER, ENOTA POLJANE;Ulica Janeza Pavla II 4, 1000 Ljubljana;01 234 71 00;01 234 71 45;dom.center(at)duc.si;
LJUBLJANA;DOM STAREJŠIH OBČANOV LJUBLJANA MOSTE-POLJE;Ob sotočju 9, 1000 Ljubljana;01 584 37 00;01 524 78 03;dsolmp@siol.net;www.dso-moste.si
LJUBLJANA;DOM STAREJŠIH OBČANOV LJUBLJANA – ŠIŠKA;Kunaverjeva 15, 1000 Ljubljana;01 513 16 30;01 513 16 65;siska@ssz-slo.si;www.dso-siska.si
LJUBLJANA;DOM STAREJŠIH OBČANOV LJUBLJANA VIČ-RUDNIK;Cesta na Bokalce 51, 1125 Ljubljana;01 477 06 00;01 477 06 55;Dom.Vic(at)dso-vic.si;http://www.dso-vic.si/
LJUBLJANA;DOM STAREJŠIH OBČANOV LJUBLJANA VIČ-RUDNIK, ENOTA KOLEZIJA;Kopališka 10, 1000 Ljubljana;01 477 01 00;01 477 01 00;vili.dolenc(at)dso-vic.si;
LJUBLJANA;DOM STAREJŠIH OBČANOV FUŽINE;Nove Fužine 40, 1125 Ljubljana;01 587 46 00;01 587 46 20;tajnistvo@dso-fuzine.si;www.dso-fuzine.si
LJUBLJANA;PRIZMA PONIKVE POSEBNI SOCIALNOVARSTVENI ZAVOD;Ponikve 76, 1312 Videm – Dobrepolje;01 788 01 00 ;01 788 01 59;Prizma.ponikve@ssz-slo.si;www.prizma-ponikve.si
LJUBLJANA;DOM UPOKOJENCEV DOMŽALE;Karantanska cesta 5, 1230 Domžale;01 724 12 30;01 724 84 98;dud(at)ssz-slo.si;http://www.dom-upokojencev-domzale.com/ 
LJUBLJANA;DOM STAREJŠIH OBČANOV GROSUPLJE;Ob Grosupeljščici 28, 1290 Grosuplje;01 781 07 10;01 781 07 20;grosuplje(at)ssz-slo.si;http://www.dso-grosuplje.si/
LJUBLJANA;DOM STAREJŠIH HRASTNIK;Novi Log 4/A, 1430 Hrastnik;03 565 41 00;03 565 41 10;hrastnik(at)ssz-slo.si;http://www.dom-hrastnik.si/
LJUBLJANA;DOM UPOKOJENCEV IDRIJA, d.o.o., oskrba in varstvo starostnikov;Arkova ulica 4, 5280 Idrija;05 372 72 70;05 372 78 30;info(at)duidrija.si;http://www.duidrija.si  
LJUBLJANA;DOM UPOKOJENCEV IDRIJA, d.o.o. – ENOTA MAROF;Vojkova 35, 5280 Idrija;05 37 34 920;05 37 34 940;info(at)duidrija.si;http://www.duidrija.si
LJUBLJANA;SOCIALNO VARSTVENI ZAVOD VITADOM, P. E. DOM ZA STAREJŠE OBČANE BOR – KONCESIJA;Črni vrh 120, 5274 Črni vrh nad Idrijo;05 375 13 00;05 375 13 30;andrej.zugel(at)vitadom.si;http://www.vitadom.si/default.asp
LJUBLJANA;DOM STAREJŠIH OBČANOV KAMNIK;Neveljska pot 26, 1240 Kamnik;01 839 15 06, 01 839 15 18, 01 839 15 10, 01 839 15 13;01 839 13 26;dom.kamnik1(at)siol.net  ;http://www.dso-kamnik.si/ 
LJUBLJANA;DOM STAREJŠIH OBČANOV KOČEVJE;Roška cesta 22, 1330 Kočevje;01 893 02 22;01 893 02 24;tajnistvo(at)dsokocevje.si;www.dsokocevje.si
LJUBLJANA;DOM »TISJE« ŠMARTNO PRI LITIJI;Črni potok 13, 1275 Šmartno pri Litiji;01 890 01 00;01 890 01 10;tisje(at)ssz-slo.si ;http://www.dom-tisje.com/
LJUBLJANA;DOM STAREJŠIH LOGATEC;Gubčeva 8a, 1370 Logatec;01 750 80 80;01 750 80 90;info(at)ds-logatec.si ;http://www.ds-logatec.si/ 
LJUBLJANA;DEOS, D. D. LJUBLJANA - KONCESIJA, PE Center starejših Medvode ;Zbiljska cesta 15, 1215 Medvode;080 27 37;;infotocka@deos.si;http://www.deos.si/medvode-center.html
 LJUBLJANA ; DEOS, D. D. LJUBLJANA - KONCESIJA, PE Center starejših Cerknica ; Cesta pod Slivnico 1, 1380 Cerknica ; 080 27 37 ;; infotocka@deos.si ; http://www.deos.si/ 
LJUBLJANA;DOM POČITKA MENGEŠ;Glavni trg 13, 1234 Mengeš;01 723 72 28, 01 723 78 95;01 723 73 47;zavod(at)dpm.si;http://www.dpm.si/
LJUBLJANA;DOM UPOKOJENCEV FRANC SALAMON TRBOVLJE;Kolonija 1. maja 21, 1420 Trbovlje;03 56 53 300;03 563 19 60;dom.upo-f-salamon(at)siol.net;http://www.dufs.eu/
LJUBLJANA;DOM UPOKOJENCEV VRHNIKA;Idrijska cesta 13, 1360 Vrhnika;01 757 01 00;07 757 01 11;info@du-vrhnika.si;www.du-vrhnika.si 
LJUBLJANA;DOM STAREJŠIH OBČANOV »POLDE EBERL-JAMSKI«, IZLAKE;Izlake 13, 1411 Izlake;03 567 40 85, 03 567 41 04;03 567 35 07;izlake(at)ssz-slo.si;http://www.dso-izlake.si/
LJUBLJANA;Dnevni center za oskrbo starejših Papilot, Zavod, Ljubljana;Zasavska cesta 42, 1000 Ljubljana;01 542 15 82, 031 636 136;;dc(at)papilot.si;http://www.papilot.si
LJUBLJANA;ZAVOD SV. TEREZIJE – KONCESIJA;Videm 33a, 1312 Videm Dobrepolje;01 781 23 00, 01 781 23 05;; info(at)zst.si;http://www.domstarejsihvidem.si
LJUBLJANA;DOM STAREJŠIH OBČANOV RIBNICA - KONCESIJA, RIVE, izgradnja in upravljenje doma starejših občanov v Ribnici, d. o. o.;Krošnjarska pot 2, 1310 Ribnica;08 200 97 00, 08 200 97 01;01 835 09 00;rive(at)rive.si;http://www.dsoribnica.si/
LJUBLJANA;DEOS, D. D. LJUBLJANA - KONCESIJA PE Center starejših Horjul;Slovenska cesta 17, 1354 Horjul;080 27 37 ;;infotocka(at)deos.si;http://www.deos.si/horjul-center.html
LJUBLJANA;ZAVOD ŽUPNIJE KARITAS TRNOVO - KONCESIJA, DOM JANEZA KRSTNIKA;Kolezijska 1, 1000 Ljubljana;08 200 14 70, 030 322 706;;;http://www.dom-janeza-krstnika.si/
LJUBLJANA;DEOS, D. D. LJUBLJANA - KONCESIJA PE Center starejših Trnovo;Devinska 1, 1000 Ljubljana;080 27 37;;infotocka@deos.si;http://www.deos.si/
LJUBLJANA;DEOS, D. D. LJUBLJANA - KONCESIJA PE Center starejših Notranje Gorice;Gmajna 7, 1357 Ljubljana;080 27 37;;infotocka@deos.si;http://www.deos.si/
LJUBLJANA;DEOS, D. D. LJUBLJANA - KONCESIJA PE Center starejših Črnuče;Cesta Ceneta Štuparja 141, 1231 Ljubljana;080 27 37;;infotocka@deos.si;http://www.deos.si/
LJUBLJANA;SOCIALNO VARSTVENI ZAVOD VITADOM - KONCESIJA,PE Dom starejših Škofljica;Ob potoku 11, 1291 Škofljica;01/235 58 60 ;;info-skofljica(at)vitadom.si;http://www.vitadom.si/  
MARIBOR;DOM UPOKOJENCEV DANICE VOGRINEC MARIBOR;Čufarjeva cesta 9, 2000 Maribor;02 480 61 00;02 471 31 57;info@du_danicevogrinec.si;http://www.du-danicevogrinec.si
MARIBOR;DOM UPOKOJENCEV DANICE VOGRINEC MARIBOR, ENOTA TABOR;Veselova 3, 2000 Maribor;02 420 41 21;;;
MARIBOR;DOM STAREJŠIH OBČANOV TEZNO;Panonska ulica 41, 2000 Maribor; 02 460 26 00;02 460 26 14;ida.kmetec(at)dso-tezno.si;http://www.dso-tezno.si
MARIBOR;SONČNI DOM, DRUŽBA ZA STORITVE, D. O. O. – KONCESIJA;Železnikova 10, 2000 Maribor;02 471 64 02;02 471 64 13;info(at)soncnidom.si;http://www.soncnidom.si/
MARIBOR;DOM STAREJŠIH IDILA, JARENINA – KONCESIJA;Vukovski dol 30, 2221 Jarenina;02 655 66 50;02 655 66 91;info(at)dsidila.si;http://www.domstarejsihidila.si/
MARIBOR;DOM UPOKOJENCEV PTUJ;Volkmerjeva 10, 2250 Ptuj;02 780 73 00;02 620 77 98;info(at)domptuj.si;http://www.dom-upokojencev.si/
MARIBOR;DOM UPOKOJENCEV PTUJ, ENOTA MURETINCI;Muretinci 45, 2272 Gorišnica;02/ 620 74 30;;dommuretinci(at)domptuj.si;http://www.dom-upokojencev.si/o-nas/nase-enote/muretinci/
MARIBOR;DOM UPOKOJENCEV PTUJ, ENOTA KIDRIČEVO;Kajuhova ulica 2, 2325 Kidričevo;02 620 52 00;;domkidricevo(at)domptuj.si;http://www.dom-upokojencev.si/o-nas/nase-enote/kidricevo/
MARIBOR;DOM UPOKOJENCEV PTUJ, ENOTA JURŠINCI;Juršinci 19 D, 2256 Juršinci;02 620 74 50;;domjursinci(at)domptuj.si;http://www.dom-upokojencev.si/o-nas/nase-enote/jursinci/
MARIBOR;CENTER ZA STAREJŠE OBČANE ORMOŽ D. O. O. – KONCESIJA;Ulica dr. Hrovata 10, 2270 Ormož;02 741 62 00;02 741 62 34;cso.ormoz(at)siol.net;www.cso-ormoz.si
MARIBOR;DOM DR. JOŽETA POTRČA POLJČANE;Potrčeva 1, 2319 Poljčane;02 829 59 20;02 802 56 75;info(at)dom-poljcane.si;http://www.dom-poljcane.si
MARIBOR;ZAVOD HRASTOVEC-TRATE ;Hrastovec 22, 2230 Lenart v Slovenskih Goricah;02 729 35 10;02 729 35 66;hrastovec.zavod(at)siol.net;http://www.hrastovec.org/ 
MARIBOR;ZAVOD HRASTOVEC-TRATE, ENOTA PESNICA;Trate 7, 2213 Zgornja Velka;02 645 57 31;02 645 57 20;z.hrastovectrate(at)siol.net;
MARIBOR;DOM LENART d. o. o. – KONCESIJA;Gubčeva 5, 2230 Lenart v Slovenskih Goricah;059 22 11 00, 059 22 11 03;059 22 11 50;dom.lenart(at)karitasmb.si;http://www.domlenart.si/
MARIBOR;DOM POD GORCO, DRUŽBA ZA BIVANJSKO OSKRBO, d. o. o. - KONCESIJA ;Pekrska cesta 56, 2000 Maribor;02 480 56 20;;info(at)dompodgorco.si;http://www.dompodgorco.si
MURSKA SOBOTA;DOM STAREJŠIH RAKIČAN;Dr. Vrbnjaka 1 - p. p. 1302, 9001 Murska Sobota;02 532 16 09, 02 532 16 30 ;02 530 42 40;dom.rakican(at)siol.net;http://www.ds-rakican.com/
MURSKA SOBOTA;DOM STAREJŠIH LENDAVA Idösebb polgárok otthona Lendva;Slomškovo naselje 7, 9220 Lendava;02 578 12 36, 02 578 12 37;02 578 12 38;dom_starejsih.Lendava(at)siol.net;http://www.dslendava.si/
MURSKA SOBOTA;DOM STAREJŠIH OBČANOV LJUTOMER;Cesta 1. Slovenskega tabora 5, 9240 Ljutomer;02 585 11 00;02 585 11 20;dso.ljutomer(at)siol.net;http://www.dso-ljutomer.si
MURSKA SOBOTA;DOM LUKAVCI ;Lukavci 9, 9242 Križevci pri Ljutomeru;02 588 84 20;02 588 84 44;lukavci(at)ssz-slo.si;http://www.lukavci.si/
MURSKA SOBOTA;ZAVOD SV. CIRILA IN METODA BELTINCI – KONCESIJA;Mladinska 4, 9231 Beltinci;02 542 31 10;02 542 31 11;info(at)zcm.si ;http://www.zcm.si
MURSKA SOBOTA;DOM STAREJŠIH OBČANOV GORNJA RADGONA d. o. o. – KONCESIJA;Trate 40, 9250 Gornja Radgona;02 568 45 00;02 568 45 16;info(at)dso-gr.si ;http://www.dso-gr.si/
MURSKA SOBOTA;DOSOR, Dom starejših občanov d. o. o. – KONCESIJA;Prisojna cesta 4a, 9252 Radenci;02 568 46 00;02 568 46 01;info(at)dosor.si ;http://www.dosor.si/
MURSKA SOBOTA;Dom Kuzma, d. o. o. – KONCESIJA;Kuzma 60l, 9263 Kuzma;08 200 07 37;;vital.gl(at)siol.net ;
MURSKA SOBOTA;ZAVOD ČEBELA, dnevno varstvo Karitas, DOM DANIJELA HALASA VELIKA POLANA – KONCESIJA;Velika Polana 109, 9225 Velika Polana;059 073 139;059 07 31 40;info(at)domhalas.si;http://www.domhalas.si/
NOVA GORICA;DOM UPOKOJENCEV NOVA GORICA;Gregorčičeva 16, 5000 Nova Gorica;05 339 41 00;05 339 41 60;gorica(at)ssz-slo.si;
NOVA GORICA;DOM UPOKOJENCEV GRADIŠČE;Gradišče 4, 5294 Dornberk;05 330 69 00;05 330 69 24;gradisce(at)ssz-slo.si;
NOVA GORICA;DOM STAREJŠIH OBČANOV AJDOVŠČINA;Bevkova 10, 5270 Ajdovščina;05 365 98 10;05 365 98 26;ajdovscina(at)ssz-slo.si;http://www.dso-ajdovscina.si/ 
NOVA GORICA;TURZIS d. o. o. - KONCESIJA;Arčoni 8a, 5292 Renče;05 331 07 20;05 331 07 30;info(at)medichotel.com;http://www.medichotel.com/
NOVA GORICA;ZAVOD PRISTAN;Goriška cesta 27, 5271 Vipava;05 368 77 56, 041 845 207;;martin(at)pristan.si;https://www.pristan.si/
NOVA GORICA;DOM UPOKOJENCEV PODBRDO;Podbrdo 33, 5243 Podbrdo;05 380 18 41;05 380 18 51;info(at)dompodbrdo.si;http://www.dompodbrdo.si/
NOVA GORICA;DOM UPOKOJENCEV PODBRDO, ENOTA TOLMIN;Gregorčičeva 32, 5220 Tolmin;05 380 18 00;05 380 18 08;ivica.podgornik(at)dompodbrdo.si ;
NOVA GORICA;DOM UPOKOJENCEV PODBRDO, ENOTA PETROVO BRDO;Petrovo brdo 7, 5243 Podbrdo;05 380 18 20;05 380 18 21;malci.kos(at)dompodbrdo.si;
NOVO MESTO;DOM STAREJŠIH OBČANOV NOVO MESTO;Šmihel 1, 8000 Novo mesto;07 371 99 11;07 371 99 44;dso-nm(at)siol.net;http://www.dso-novomesto.com/
NOVO MESTO;DOM STAREJŠIH OBČANOV ČRNOMELJ;Ulica 21. oktobra 19c, 8340 Črnomelj; 07 305 62 60;07 305 62 82;crnomelj(at)ssz-slo.si;http://www.domcrnomelj.si/
NOVO MESTO;DOM POČITKA METLIKA;Mestni trg 16, 8330 Metlika;07 306 31 4;07 306 31 50;metlika(at)ssz-slo.si;
NOVO MESTO;DOM STAREJŠIH OBČANOV TREBNJE;Stari trg 63, 8210 Trebnje;07 346 21 00;07 346 21 51;dso_trebnje(at)siol.net;http://www.dso-trebnje.si/
NOVO MESTO;PENZION SREČA, Varovanje starejših oseb, gostinstvo in turizem d. o. o. - dovoljenje za delo za varstvo starejših v oskrbnem domu in KONCESIJA;Orešje 51, 8820 Šmarješke toplice;07 307 38 48;07 307 38 49;;
RAVNE NA KOROŠKEM;KOROŠKI DOM STAROSTNIKOV;Črneče 146, 2370 Dravograd;02 878 32 54;02 872 00 90;kdsd(at)siol.net;http://www.kds-dravograd.si/
RAVNE NA KOROŠKEM;ZAVOD ČEBELA, DNEVNO VARSTVO KARITAS, ;Šentjanž pri Dravogradu 102, 2373 Šentjanž pri Dravogradu;02 878 71 67;;zavod.cebela.karitas(at)siol.net;
RAVNE NA KOROŠKEM;DOM SV. EME ŠENTJANŽ – KONCESIJA;;;;;
RAVNE NA KOROŠKEM;DEOS D. D. LJUBLJANA, PE CENTER STAREJŠIH GORNJI GRAD – KONCESIJA;Tlaka 28, 3342 Gornji Grad;080 27 37;;infotocka(at)deos.si;http://www.deos.si/  
RAVNE NA KOROŠKEM;DOM STAREJŠIH NA FARI, PREVALJE;Na Fari 50, 2391 Prevalje;02 824 09 20;02 824 09 13;dom.prevalje(at)siol.net;http://www.ds-nafari.si/
RAVNE NA KOROŠKEM;DOM ZA VARSTVO ODRASLIH VELENJE;Kidričeva 23, 3320 Velenje;03 587 49 15;03 897 06 51;dvov(at)siol.net;http://www.dom-velenje.com/
RAVNE NA KOROŠKEM;DOM ZA STAREJŠE RADLJE OB DRAVI, DOM HMELINA, d. o. o. – KONCESIJA;Koroška cesta 67a, 2360 Radlje ob Dravi;02 887 03 70;02 887 03 79;;http://www.domhmelina.si/
RAVNE NA KOROŠKEM;PV Center starejših Zimzelen, d. o. o.  – KONCESIJA;Topolšica 78a, 3326 Topolšica ;080 27 37  ;;infotocka(at)deos.si;http://www.deos.si
